Name,CAS no,"Origin (company, synthesis method)",Shape,Initial coating/functionalization,"Diameter, nm","Length, nm",Possible impurities,"Surface area, BET (m2/g)",Other observations,Media,"Method to
measure the size (DLS, NTA)","Size of nanomaterial in the test, nm",Dissolution (if applicable) of nanomaterial in the test,Zeta potential of nanomaterial in the test,"Type of test organism (selection: bacteria, algae, crustacean, protozoa, fish, earthworm, other)",Test organism,Test media,Test duration (h or days),"Test temperature, other important conditions",Illumination,Test endpoint,Toxicity measure,Toxicity value,Other observations,Specific mechanisms of toxicity,"Accumulation in cells, tissues and organs",Authors,Title,Journal,Vol,Issue,Start page,End page,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"CSIRO Manufacturing and Materials Technology (Melbourne, Australia)",sphere,,30,30,surfactant nonylphenol ethoxylate,,5% ZnO dispersed in  2% nonylphenol ethoxylate,"synthetic freshwater algal medium (US-EPA, no EDTA)",DLS,118–3140,,,algae,Pseudokirchneriella subcapitata,"synthetic freshwater algal medium (US-EPA, no EDTA)",72 h,24 °C,"24 h light cycle Philips TL 40W cool white fluorescent light, 70 µmol photons/m2/s)",growth rate (decrease in cell number),EC50,49 (41–65) µg/L,,,,"Franklin, Natasha M.; Rogers, Nicola J.; Apte, Simon C.; Batley, Graeme E.; Gadd, Gerald E.; Casey, Philip S.","Comparative toxicity of nanoparticulate ZnO, bulk ZnO, and ZnCl2 to a freshwater microalga (Pseudokirchneriella subcapitata): The importance of particle solubility",ENVIRONMENTAL SCIENCE & TECHNOLOGY,41,24,8484,8490,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Nanjing High Technology NANO CO., LTD (Nanjing, Jiangshu province, China)",strip,uncoated,20,,,,,Milli-Q water,DLS,"50-360 nm, mean size 180 nm",27%,,fish,Danio rerio,Milli-Q water,96 hpf,26 ± 1 °C,"14-h/10-h, light/dark cycle",embryo-larvae survival,LC50,1.793 (1.498-2.145)mg/L,5 mg/L of ZnO caused tissue ulceration at 72 hpf,ZnO caused tissue ulceration ,,"Zhu, Xiaoshan; Zhu, Lin; Duan, Zhenghua; Qi, Ruiqi; Li, Yan; Lang, Yupeng",Comparative toxicity of several metal oxide nanoparticle aqueous suspensions to Zebrafish (Danio rerio) early developmental stage,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,43,3,278,284,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Nanjing High Technology NANO CO., LTD (Nanjing, Jiangshu province, China)",strip,uncoated,20,,,,,Milli-Q water,DLS,"50-360 nm, mean size 180 nm",27%,,fish,Danio rerio,Milli-Q water,84 hpf,26 ± 1 °C,"14-h/10-h, light/dark cycle",embryo's hatching rate,EC50 ,2.065 (1.687-2.529) mg/L,5 mg/L of ZnO caused tissue ulceration at 72 hpf,ZnO caused tissue ulceration ,,"Zhu, Xiaoshan; Zhu, Lin; Duan, Zhenghua; Qi, Ruiqi; Li, Yan; Lang, Yupeng",Comparative toxicity of several metal oxide nanoparticle aqueous suspensions to Zebrafish (Danio rerio) early developmental stage,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,43,3,278,284,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,Sigma-Aldrich,,,50-70 ,,,,,synthetic freshwater,,,83%,,bacteria,Vibrio fischeri,2% NaCl in Milli-Q water,30 min,ambient temperature (20 °C),dark,bioluminescence reduction,EC50,1.9 ± 0.2 mg/L,MIC 100 mg/L (growth inhibition),,,"Heinlaan, Margit; Ivask, Angela; Blinova, Irina; Dubourguier, Henri-Charles; Kahru, Anne","Toxicity of nanosized and bulk ZnO, CuO and TiO(2) to bacteria Vibrio fischeri and crustaceans Daphnia magna and Thamnocephalus platyurus",CHEMOSPHERE,71,7,1308,1316,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,Sigma-Aldrich,,,50-70 ,,,,,synthetic freshwater,,,83%,,bacteria,Vibrio fischeri,2% NaCl in Milli-Q water,30 min,ambient temperature (20 °C),dark,bioluminescence reduction,EC20,0.9± 0.4 mg/L,MIC 100 mg/L (growth inhibition),,,"Heinlaan, Margit; Ivask, Angela; Blinova, Irina; Dubourguier, Henri-Charles; Kahru, Anne","Toxicity of nanosized and bulk ZnO, CuO and TiO(2) to bacteria Vibrio fischeri and crustaceans Daphnia magna and Thamnocephalus platyurus",CHEMOSPHERE,71,7,1308,1316,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,Sigma-Aldrich,,,50-70 ,,,,,synthetic freshwater,,,83%,,bacteria,Vibrio fischeri,2% NaCl in Milli-Q water,30 min,ambient temperature (20 °C),dark,bioluminescence reduction,NOEC,0.75 mg/L,MIC 100 mg/L (growth inhibition),,,"Heinlaan, Margit; Ivask, Angela; Blinova, Irina; Dubourguier, Henri-Charles; Kahru, Anne","Toxicity of nanosized and bulk ZnO, CuO and TiO(2) to bacteria Vibrio fischeri and crustaceans Daphnia magna and Thamnocephalus platyurus",CHEMOSPHERE,71,7,1308,1316,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,Sigma-Aldrich,,,50-70 ,,,,,synthetic freshwater,,,83%,,crustacean,Daphnia magna,synthetic freshwater,48 h,20 °C,dark,immobilization,LC50 ,3.2 ± 1.3 mg/L,,,,"Heinlaan, Margit; Ivask, Angela; Blinova, Irina; Dubourguier, Henri-Charles; Kahru, Anne","Toxicity of nanosized and bulk ZnO, CuO and TiO(2) to bacteria Vibrio fischeri and crustaceans Daphnia magna and Thamnocephalus platyurus",CHEMOSPHERE,71,7,1308,1316,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,Sigma-Aldrich,,,50-70 ,,,,,synthetic freshwater,,,83%,,crustacean,Daphnia magna,synthetic freshwater,48 h,20 °C,dark,immobilization,LC20 ,2.45 ± 1.6 mg/L,,,,"Heinlaan, Margit; Ivask, Angela; Blinova, Irina; Dubourguier, Henri-Charles; Kahru, Anne","Toxicity of nanosized and bulk ZnO, CuO and TiO(2) to bacteria Vibrio fischeri and crustaceans Daphnia magna and Thamnocephalus platyurus",CHEMOSPHERE,71,7,1308,1316,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,Sigma-Aldrich,,,50-70 ,,,,,synthetic freshwater,,,83%,,crustacean,Daphnia magna,synthetic freshwater,48 h,20 °C,dark,immobilization,NOEC,0.5 mg/L,,,,"Heinlaan, Margit; Ivask, Angela; Blinova, Irina; Dubourguier, Henri-Charles; Kahru, Anne","Toxicity of nanosized and bulk ZnO, CuO and TiO(2) to bacteria Vibrio fischeri and crustaceans Daphnia magna and Thamnocephalus platyurus",CHEMOSPHERE,71,7,1308,1316,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,Sigma-Aldrich,,,50-70 ,,,,,synthetic freshwater,,,83%,,crustacean,Thamnocephalus platyurus,synthetic freshwater,24 h,25 °C,dark,mortality,LC50 ,0.18 ± 0.03 mg/L,,,,"Heinlaan, Margit; Ivask, Angela; Blinova, Irina; Dubourguier, Henri-Charles; Kahru, Anne","Toxicity of nanosized and bulk ZnO, CuO and TiO(2) to bacteria Vibrio fischeri and crustaceans Daphnia magna and Thamnocephalus platyurus",CHEMOSPHERE,71,7,1308,1316,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,Sigma-Aldrich,,,50-70 ,,,,,synthetic freshwater,,,83%,,crustacean,Thamnocephalus platyurus,synthetic freshwater,24 h,25 °C,dark,mortality,LC20 ,0.12 ± 0.04 mg/L,,,,"Heinlaan, Margit; Ivask, Angela; Blinova, Irina; Dubourguier, Henri-Charles; Kahru, Anne","Toxicity of nanosized and bulk ZnO, CuO and TiO(2) to bacteria Vibrio fischeri and crustaceans Daphnia magna and Thamnocephalus platyurus",CHEMOSPHERE,71,7,1308,1316,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,Sigma-Aldrich,,,50-70 ,,,,,synthetic freshwater,,,83%,,crustacean,Thamnocephalus platyurus,synthetic freshwater,24 h,25 °C,dark,mortality,NOEC,0.03 mg/L,,,,"Heinlaan, Margit; Ivask, Angela; Blinova, Irina; Dubourguier, Henri-Charles; Kahru, Anne","Toxicity of nanosized and bulk ZnO, CuO and TiO(2) to bacteria Vibrio fischeri and crustaceans Daphnia magna and Thamnocephalus platyurus",CHEMOSPHERE,71,7,1308,1316,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Hongchen Material Sci & Tech Co., Zhejiang, China",spherical & cuboid,,19 ± 7 ,19 ± 7 ,,58,,Rhizosphere solution - seedlings were pulled out from nutrient solutions after 8 h of settling,DLS,500 ± 80 nm,< 3.5%,-2.9 ± 0.3 mV,plant,Lolium perenne,1 strength Hoagland solution,12 days,25-30 °C 16h; 15-20 °C 8h,16-h/8-h light/dark cycle,shoots biomass after drying at 70 °C for 24 h,IC50,64 mg/L,the seedling growth was retarded when ZnO concentration was higher than 50 mg/L,,"Root Zn content in the presence of 1000 mg/L ZnO nanoparticles was 3.6 times higher than that of the 1000 mg/L Zn2+. Translocation factor (TF) of Zn, defined as Zn content ratio of shoot to root, were very low (0.02−0.01). Adsorption of ZnO nanoparticles and their aggregations on the root surface was evident. ZnO nanoparticles could enter into the endodermis and vascular cylinder of the ryegrass roots.","Lin, Daohui; Xing, Baoshan",Root uptake and phytotoxicity of ZnO nanoparticles,ENVIRONMENTAL SCIENCE & TECHNOLOGY,42,15,5580,5585,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Nanjing
High Technology NANO Co., LTD (Nanjing, China);",,uncoated,20,,,,,,,,,,crustacean,Daphnia magna,"reconstituted water (MilliQ water + 64.75 mg/L NaHCO3, 5.75 mg/L KCl, 123.25 mg/L MgSO*7H2O, and 294 mg/L CaCl2*2H2O",48 h,23 ± 2 °C,natural light/dark cycle,immobilization,EC50 ,0.622 (0.411-0.805)  mg/L,0.01 mg/L produced a slight immobilization (6.67%),,Large amounts of dark material were found in the gut tract of D. magna after NP exposure,"Zhu, Xiaoshan; Zhu, Lin; Chen, Yongsheng; Tian, Shengyan",Acute toxicities of six manufactured nanomaterial suspensions to Daphnia magna,JOURNAL OF NANOPARTICLE RESEARCH,11,1,67,75,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Nanjing
High Technology NANO Co., LTD (Nanjing, China);",,uncoated,20,,,,,,,,,,crustacean,Daphnia magna,"reconstituted water (MilliQ water + 64.75 mg/L NaHCO3, 5.75 mg/L KCl, 123.25 mg/L MgSO*7H2O, and 294 mg/L CaCl2*2H2O",48 h,23 ± 2 °C,natural light/dark cycle,mortality,LC50 ,1.511 (1.120-2.108) mg/L,0.01 mg/L produced 0% mortality,,Large amounts of dark material were found in the gut tract of D. magna after NP exposure,"Zhu, Xiaoshan; Zhu, Lin; Chen, Yongsheng; Tian, Shengyan",Acute toxicities of six manufactured nanomaterial suspensions to Daphnia magna,JOURNAL OF NANOPARTICLE RESEARCH,11,1,67,75,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Hongchen Material Sci & Tech Co., Zhejiang, China",,uncoated,20,,>99.5% purity,54,,ultrapure water,DLS,759 (478-980) nm,14%,0.017 mV,nematode,Caenorhabditis elegans,ultrapure water,24 h,20 ± 1 °C,dark,mortality,LC50,2.2 mg/L,"Concentrations of 1.6 mg/L and 4.1 mg/L significantly reduced the growth, the number of eggs inside the worm and offspring per worm",,,"Wang, Huanhua; Wick, Robert L.; Xing, Baoshan","Toxicity of nanoparticulate and bulk ZnO, Al2O3 and TiO2 to the nematode Caenorhabditis elegans",ENVIRONMENTAL POLLUTION,157,4,1171,1177,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Z-COTE®; BASF SE, Ludwigshafen, Germany",,uncoated,< 200 ,,,12-24,,Artificial Elendt M4 (OECD guideline 202),analytical centrifugation with Schlieren or UV detection,D10% 1000 nm; D50% 2600 nm,,,crustacean,Daphnia magna,Artificial Elendt M4 (OECD guideline 202),48 h,20 ± 2 °C,16-h/8-h light/dark cycle,immobilization,EC10 ,5.2 mg/L,,The acute effects of ZnO on the mobility of D. magna are probably due to the ion toxicity of Zn and not ZnO,,"Wiench, Karin; Wohlleben, Wendel; Hisgen, Volker; Radke, Kristin; Salinas, Edward; Zok, Sabine; Landsiedel, Robert",Acute and chronic effects of nano- and non-nano-scale TiO2 and ZnO particles on mobility and reproduction of the freshwater invertebrate Daphnia magna,CHEMOSPHERE,76,10,1356,1365,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Z-COTE®; BASF SE, Ludwigshafen, Germany",,uncoated,< 200 ,,,12-24,,Artificial Elendt M4 (OECD guideline 202),analytical centrifugation with Schlieren or UV detection,D10% 1000 nm; D50% 2600 nm,,,crustacean,Daphnia magna,Artificial Elendt M4 (OECD guideline 202),48 h,20 ± 2 °C,16-h/8-h light/dark cycle,immobilization,EC50 ,7.5 mg/L,,The acute effects of ZnO on the mobility of D. magna are probably due to the ion toxicity of Zn and not ZnO,,"Wiench, Karin; Wohlleben, Wendel; Hisgen, Volker; Radke, Kristin; Salinas, Edward; Zok, Sabine; Landsiedel, Robert",Acute and chronic effects of nano- and non-nano-scale TiO2 and ZnO particles on mobility and reproduction of the freshwater invertebrate Daphnia magna,CHEMOSPHERE,76,10,1356,1365,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Z-COTE® HP1; BASF SE, Ludwigshafen, Germany",,triethoxycaprylylsilane,< 200 ,,,12-24,,,,,,,crustacean,Daphnia magna,Artificial Elendt M4 (OECD guideline 202),48 h,20 ± 2 °C,16-h/8-h light/dark cycle,immobilization,EC10 ,0.2 mg/L,,The acute effects of ZnO on the mobility of D. magna are probably due to the ion toxicity of Zn and not ZnO,,"Wiench, Karin; Wohlleben, Wendel; Hisgen, Volker; Radke, Kristin; Salinas, Edward; Zok, Sabine; Landsiedel, Robert",Acute and chronic effects of nano- and non-nano-scale TiO2 and ZnO particles on mobility and reproduction of the freshwater invertebrate Daphnia magna,CHEMOSPHERE,76,10,1356,1365,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Z-COTE® HP1; BASF SE, Ludwigshafen, Germany",,triethoxycaprylylsilane,< 200 ,,,12-24,,,,,,,crustacean,Daphnia magna,Artificial Elendt M4 (OECD guideline 202),48 h,20 ± 2 °C,16-h/8-h light/dark cycle,immobilization,EC50 ,1.1 mg/L,,The acute effects of ZnO on the mobility of D. magna are probably due to the ion toxicity of Zn and not ZnO,,"Wiench, Karin; Wohlleben, Wendel; Hisgen, Volker; Radke, Kristin; Salinas, Edward; Zok, Sabine; Landsiedel, Robert",Acute and chronic effects of nano- and non-nano-scale TiO2 and ZnO particles on mobility and reproduction of the freshwater invertebrate Daphnia magna,CHEMOSPHERE,76,10,1356,1365,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Z-COTE® HP1; BASF SE, Ludwigshafen, Germany",,triethoxycaprylylsilane,< 200 ,,,12-24,,,,,,,crustacean,Daphnia magna,surface water from a pond,48 h,20 ± 2 °C,16-h/8-h light/dark cycle,immobilization,EC10 ,9.3 mg/L,,The acute effects of ZnO on the mobility of D. magna are probably due to the ion toxicity of Zn and not ZnO,,"Wiench, Karin; Wohlleben, Wendel; Hisgen, Volker; Radke, Kristin; Salinas, Edward; Zok, Sabine; Landsiedel, Robert",Acute and chronic effects of nano- and non-nano-scale TiO2 and ZnO particles on mobility and reproduction of the freshwater invertebrate Daphnia magna,CHEMOSPHERE,76,10,1356,1365,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Z-COTE® HP1; BASF SE, Ludwigshafen, Germany",,triethoxycaprylylsilane,< 200 ,,,12-24,,,,,,,crustacean,Daphnia magna,surface water from a pond,48 h,20 ± 2 °C,16-h/8-h light/dark cycle,immobilization,EC50 ,13.4 mg/L,,The acute effects of ZnO on the mobility of D. magna are probably due to the ion toxicity of Zn and not ZnO,,"Wiench, Karin; Wohlleben, Wendel; Hisgen, Volker; Radke, Kristin; Salinas, Edward; Zok, Sabine; Landsiedel, Robert",Acute and chronic effects of nano- and non-nano-scale TiO2 and ZnO particles on mobility and reproduction of the freshwater invertebrate Daphnia magna,CHEMOSPHERE,76,10,1356,1365,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Z-COTE® HP1; BASF SE, Ludwigshafen, Germany",,triethoxycaprylylsilane,< 200 ,,,12-24,,,,,,,crustacean,Daphnia magna,surface water from well-spring of the River Selz,48 h,20 ± 2 °C,16-h/8-h light/dark cycle,immobilization,EC10 ,2.7 mg/L,,The acute effects of ZnO on the mobility of D. magna are probably due to the ion toxicity of Zn and not ZnO,,"Wiench, Karin; Wohlleben, Wendel; Hisgen, Volker; Radke, Kristin; Salinas, Edward; Zok, Sabine; Landsiedel, Robert",Acute and chronic effects of nano- and non-nano-scale TiO2 and ZnO particles on mobility and reproduction of the freshwater invertebrate Daphnia magna,CHEMOSPHERE,76,10,1356,1365,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZnO,1314-13-2 ,"Z-COTE® HP1; BASF SE, Ludwigshafen, Germany",,triethoxycaprylylsilane,< 200 ,,,12-24,,,,,,,crustacean,Daphnia magna,surface water from well-spring of the River Selz,48 h,20 ± 2 °C,16-h/8-h light/dark cycle,immobilization,EC50 ,>100 mg/L,,The acute effects of ZnO on the mobility of D. magna are probably due to the ion toxicity of Zn and not ZnO,,"Wiench, Karin; Wohlleben, Wendel; Hisgen, Volker; Radke, Kristin; Salinas, Edward; Zok, Sabine; Landsiedel, Robert",Acute and chronic effects of nano- and non-nano-scale TiO2 and ZnO particles on mobility and reproduction of the freshwater invertebrate Daphnia magna,CHEMOSPHERE,76,10,1356,1365,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
